experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall
mert95m_gem_cl_vocalsetsinger_scenario3,CL,GEM,VocalSetSinger,1,male10-female7-male6-male1,female8-male7-male8-female1-male10-female7-male6-male1,0.5501729846000671,0.5501729846000671,0.5501729846000671,0.5501729846000671
mert95m_gem_cl_vocalsetsinger_scenario3,CL,GEM,VocalSetSinger,2,female9-female5-male9-female4,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4,0.4813084006309509,0.4813084006309509,0.4813084006309509,0.4813084006309509
mert95m_gem_cl_vocalsetsinger_scenario3,CL,GEM,VocalSetSinger,3,female3-male4-male5-female6,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6,0.3554007112979889,0.3554007112979889,0.3554007112979889,0.3554007112979889
mert95m_gem_cl_vocalsetsinger_scenario3,CL,GEM,VocalSetSinger,4,male11-female2-male2-male3,female8-male7-male8-female1-male10-female7-male6-male1-female9-female5-male9-female4-female3-male4-male5-female6-male11-female2-male2-male3,0.2388888895511627,0.2388888895511627,0.2388888895511627,0.2388888895511627

mert95m_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,1.0,1.0,1.0,1.0
mert95m_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.4860139787197113,0.4860139787197113,0.4860139787197113,0.4860139787197113
mert95m_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.3341067433357239,0.3341067433357239,0.3341067433357239,0.3341067433357239
mert95m_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2534722089767456,0.2534722089767456,0.2534722089767456,0.2534722089767456
mert95m_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2000000029802322
mert95m_ewc_cl_vocalsetsinger_scenario2,CL,EWC,VocalSetSinger,0,female9-male3-female3-female1,female9-male3-female3-female1,0.9931034445762634,0.9931034445762634,0.9931034445762634,0.9931034445762634
mert95m_ewc_cl_vocalsetsinger_scenario2,CL,EWC,VocalSetSinger,1,female8-male1-male9-female5,female9-male3-female3-female1-female8-male1-male9-female5,0.4913494884967804,0.4913494884967804,0.4913494884967804,0.4913494884967804
