experiment_name,experiment_type,experiment_subtype,train_dataset_name,train_task_number,train_task_name,task_name,Accuracy,F1 Score,Precision,Recall
clmrsamplecnn_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.443155437707901,0.443155437707901,0.443155437707901,0.443155437707901
clmrsamplecnn_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2916666567325592,0.2916666567325592,0.2916666567325592,0.2916666567325592
clmrsamplecnn_icarl_cl_vocalsetsinger_scenario1,CL,iCaRL,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.2305555492639541,0.2305555492639541,0.2305555492639541,0.2305555492639541
clmrsamplecnn_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.952054798603058,0.952054798603058,0.952054798603058,0.952054798603058
clmrsamplecnn_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.5069929957389832,0.5069929957389832,0.5069929957389832,0.5069929957389832
clmrsamplecnn_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.3410672843456268,0.3410672843456268,0.3410672843456268,0.3410672843456268
clmrsamplecnn_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2864583432674408,0.2864583432674408,0.2864583432674408,0.2864583432674408
clmrsamplecnn_gem_cl_vocalsetsinger_scenario1,CL,GEM,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.2236111164093017,0.2236111164093017,0.2236111164093017,0.2236111164093017
clmrsamplecnn_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,0,female1-female2-male1-male2,female1-female2-male1-male2,0.952054798603058,0.952054798603058,0.952054798603058,0.952054798603058
clmrsamplecnn_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,1,female3-female4-male3-male4,female1-female2-male1-male2-female3-female4-male3-male4,0.4755244851112366,0.4755244851112366,0.4755244851112366,0.4755244851112366
clmrsamplecnn_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,2,female5-female6-male5-male6,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6,0.3085846900939941,0.3085846900939941,0.3085846900939941,0.3085846900939941
clmrsamplecnn_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,3,female7-female8-male7-male8,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8,0.2482638955116272,0.2482638955116272,0.2482638955116272,0.2482638955116272
clmrsamplecnn_ewc_cl_vocalsetsinger_scenario1,CL,EWC,VocalSetSinger,4,female9-male9-male10-male11,female1-female2-male1-male2-female3-female4-male3-male4-female5-female6-male5-male6-female7-female8-male7-male8-female9-male9-male10-male11,0.1958333402872085,0.1958333402872085,0.1958333402872085,0.1958333402872085
